,02t,03t,05t,08t,10t,11t,12t,13t,14t,16t,17t,18t,19t,20t,21t,22t,24t,25t,26t,27t,28t,29t,30t,31t,32t,33t,34t,35t,36t,37t,38t,39t,40t,41t,42t,43t,44t,46t,47t,50t,52t,53t,54t,57t,58t,59t,60t,61t,62t,63t,67t,68t,69t,70t,71t,72t,73t,74t,75t,76t,77t,78t,79t,80t,81t,82t,83t,84t,85t,86t,87t,88t,89t,m1,m7,m9,o10,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,o31,o59,o63,total
PM2.5,"[27762, '(14.72%)', Timestamp('2005-07-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('5733 days 01:00:00')]","[20712, '(59.63%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('877 days 01:00:00')]","[39071, '(24.94%)', Timestamp('2016-06-23 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1723 days 01:00:00')]","[39637, '(21.58%)', Timestamp('2016-07-11 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1705 days 01:00:00')]","[20190, '(10.92%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('877 days 01:00:00')]","[18275, '(9.71%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('877 days 01:00:00')]","[13589, '(7.88%)', Timestamp('2019-08-18 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('572 days 01:00:00')]","[17761, '(9.83%)', Timestamp('2019-01-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('801 days 01:00:00')]","[10405, '(6.04%)', Timestamp('2020-01-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('436 days 01:00:00')]","[14909, '(9.24%)', Timestamp('2019-06-25 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('626 days 01:00:00')]","[8976, '(99.45%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('376 days 01:00:00')]","[22633, '(14.66%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1157 days 01:00:00')]","[32609, '(20.87%)', Timestamp('2017-06-07 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1374 days 01:00:00')]","[20264, '(12.07%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('877 days 01:00:00')]","[20850, '(13.92%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1157 days 01:00:00')]","[13521, '(8.36%)', Timestamp('2019-08-18 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('572 days 01:00:00')]","[64076, '(33.00%)', Timestamp('2012-06-21 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('3186 days 01:00:00')]","[20470, '(10.98%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1157 days 01:00:00')]","[52356, '(95.88%)', Timestamp('2014-08-22 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2394 days 01:00:00')]","[54878, '(93.49%)', Timestamp('2013-10-08 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2712 days 01:00:00')]","[16373, '(32.10%)', Timestamp('2019-04-11 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('701 days 01:00:00')]","[22550, '(11.31%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1157 days 01:00:00')]","[76445, '(93.63%)', Timestamp('2011-05-27 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('3577 days 01:00:00')]","[22400, '(13.17%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1157 days 01:00:00')]","[48809, '(95.80%)', Timestamp('2015-04-09 10:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2163 days 15:00:00')]","[19666, '(38.06%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('877 days 01:00:00')]","[21174, '(43.52%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1157 days 01:00:00')]","[38862, '(18.85%)', Timestamp('2016-07-11 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1705 days 01:00:00')]","[95661, '(48.66%)', Timestamp('2004-04-07 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('6183 days 01:00:00')]","[20808, '(31.01%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('877 days 01:00:00')]","[19480, '(12.02%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('877 days 01:00:00')]","[20012, '(12.47%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('877 days 01:00:00')]","[8530, '(94.50%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('376 days 01:00:00')]","[20676, '(31.07%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('877 days 01:00:00')]","[20814, '(35.47%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1157 days 01:00:00')]","[14724, '(7.50%)', Timestamp('2019-06-27 05:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('623 days 20:00:00')]","[54294, '(30.19%)', Timestamp('2012-06-18 17:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('3188 days 08:00:00')]","[54525, '(93.32%)', Timestamp('2014-01-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2627 days 01:00:00')]","[14808, '(18.94%)', Timestamp('2019-06-28 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('623 days 01:00:00')]","[32255, '(71.72%)', Timestamp('2017-06-07 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1374 days 01:00:00')]","[39991, '(20.86%)', Timestamp('2016-06-23 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1723 days 01:00:00')]","[31822, '(17.07%)', Timestamp('2017-06-07 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1374 days 01:00:00')]","[59925, '(30.63%)', Timestamp('2011-05-16 09:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('3587 days 16:00:00')]","[22564, '(29.56%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1157 days 01:00:00')]","[21349, '(29.62%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1157 days 01:00:00')]","[47806, '(35.95%)', Timestamp('2015-04-10 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2163 days 01:00:00')]","[16439, '(32.72%)', Timestamp('2019-04-11 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('701 days 01:00:00')]","[52376, '(44.38%)', Timestamp('2014-08-15 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2401 days 01:00:00')]","[30401, '(72.96%)', Timestamp('2017-06-07 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1374 days 01:00:00')]","[30959, '(75.40%)', Timestamp('2017-06-07 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1374 days 01:00:00')]","[22764, '(25.38%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1157 days 01:00:00')]","[22407, '(24.80%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1157 days 01:00:00')]","[20607, '(23.11%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('877 days 01:00:00')]","[17933, '(21.11%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('877 days 01:00:00')]","[11991, '(94.84%)', Timestamp('2014-12-31 23:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2262 days 02:00:00')]","[12722, '(97.13%)', Timestamp('2014-12-31 23:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2262 days 02:00:00')]","[20082, '(67.87%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('877 days 01:00:00')]","[13435, '(17.58%)', Timestamp('2019-08-18 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('572 days 01:00:00')]","[40677, '(90.44%)', Timestamp('2015-06-22 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2090 days 01:00:00')]","[39068, '(95.99%)', Timestamp('2016-06-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1745 days 01:00:00')]","[39619, '(97.79%)', Timestamp('2016-06-08 07:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1737 days 18:00:00')]","[3509, '(98.68%)', Timestamp('2019-12-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('467 days 01:00:00')]","[32093, '(99.06%)', Timestamp('2017-06-06 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1375 days 01:00:00')]","[31234, '(97.80%)', Timestamp('2017-06-07 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1374 days 01:00:00')]","[14818, '(99.34%)', Timestamp('2019-06-25 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('626 days 01:00:00')]","[8982, '(99.51%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('376 days 01:00:00')]","[8989, '(99.59%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('376 days 01:00:00')]","[8897, '(98.57%)', Timestamp('2020-03-04 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('373 days 01:00:00')]","[1668, '(68.76%)', Timestamp('2021-01-01 01:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('70 days 00:00:00')]","[1682, '(69.33%)', Timestamp('2021-01-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('70 days 01:00:00')]","[1682, '(69.33%)', Timestamp('2021-01-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('70 days 01:00:00')]","[1682, '(69.33%)', Timestamp('2021-01-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('70 days 01:00:00')]","[1677, '(69.13%)', Timestamp('2021-01-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('70 days 01:00:00')]","[6820, '(75.56%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('376 days 01:00:00')]","[71, '(7.57%)', Timestamp('2021-03-09 02:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2 days 23:00:00')]","[6239, '(69.12%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('376 days 01:00:00')]","[2514, '(34.35%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('376 days 01:00:00')]","[7097, '(78.63%)', Timestamp('2020-03-12 21:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('364 days 04:00:00')]","[2494, '(79.28%)', Timestamp('2020-11-26 18:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('105 days 07:00:00')]","[6655, '(73.73%)', Timestamp('2020-03-10 18:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('366 days 07:00:00')]","[4447, '(49.27%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('376 days 01:00:00')]","[3643, '(40.36%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('376 days 01:00:00')]","[8437, '(93.47%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('376 days 01:00:00')]","[7696, '(85.26%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('376 days 01:00:00')]","[6048, '(67.01%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('376 days 01:00:00')]","[7743, '(85.79%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('376 days 01:00:00')]","[6400, '(70.91%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('376 days 01:00:00')]","[1710, '(70.49%)', Timestamp('2020-12-30 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('72 days 01:00:00')]","[1609, '(66.32%)', Timestamp('2020-12-30 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('72 days 01:00:00')]","[2340, '(96.46%)', Timestamp('2020-12-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('101 days 01:00:00')]","[2413, '(99.46%)', Timestamp('2020-12-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('101 days 01:00:00')]","[1992036, '(28.40%)']"
PM10,"[81651, '(43.29%)', Timestamp('2008-03-08 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('4752 days 01:00:00')]","[34219, '(98.52%)', Timestamp('2017-03-22 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1451 days 01:00:00')]","[83702, '(53.42%)', Timestamp('2008-07-29 10:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('4608 days 15:00:00')]","[158773, '(86.43%)', Timestamp('1997-08-22 13:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('8602 days 12:00:00')]","[179702, '(97.24%)', Timestamp('1996-09-01 02:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('8957 days 23:00:00')]","[174839, '(92.86%)', Timestamp('1996-08-09 11:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('8980 days 14:00:00')]","[164635, '(95.47%)', Timestamp('1996-09-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('8958 days 01:00:00')]","[167078, '(92.48%)', Timestamp('1996-09-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('8958 days 01:00:00')]","[161250, '(93.56%)', Timestamp('1996-09-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('8958 days 01:00:00')]","[146481, '(90.77%)', Timestamp('1997-08-22 02:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('8602 days 23:00:00')]","[9012, '(99.84%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('376 days 01:00:00')]","[140257, '(90.87%)', Timestamp('1996-04-04 15:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('9107 days 10:00:00')]","[148986, '(95.37%)', Timestamp('1997-08-22 02:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('8602 days 23:00:00')]","[149326, '(88.94%)', Timestamp('1996-01-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('9202 days 01:00:00')]","[144175, '(96.26%)', Timestamp('1996-09-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('8958 days 01:00:00')]","[151538, '(93.70%)', Timestamp('1996-09-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('8958 days 01:00:00')]","[184645, '(95.10%)', Timestamp('1996-02-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('9171 days 01:00:00')]","[178511, '(95.72%)', Timestamp('1996-09-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('8958 days 01:00:00')]","[52917, '(96.91%)', Timestamp('2014-08-22 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2394 days 01:00:00')]","[55618, '(94.75%)', Timestamp('2013-10-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2719 days 01:00:00')]","[50574, '(99.14%)', Timestamp('2014-07-16 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2431 days 01:00:00')]","[179530, '(90.03%)', Timestamp('1995-05-04 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('9444 days 01:00:00')]","[78143, '(95.71%)', Timestamp('2011-07-08 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('3535 days 01:00:00')]","[152134, '(89.42%)', Timestamp('1996-01-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('9202 days 01:00:00')]","[49440, '(97.04%)', Timestamp('2015-04-09 09:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2163 days 16:00:00')]","[50436, '(97.62%)', Timestamp('2013-09-30 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2720 days 01:00:00')]","[48146, '(98.95%)', Timestamp('2015-04-10 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2163 days 01:00:00')]","[191848, '(93.06%)', Timestamp('1995-06-15 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('9402 days 01:00:00')]","[188021, '(95.64%)', Timestamp('1995-06-05 08:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('9411 days 17:00:00')]","[64746, '(96.50%)', Timestamp('2013-01-19 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2974 days 01:00:00')]","[152448, '(94.06%)', Timestamp('1998-01-01 01:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('8471 days 00:00:00')]","[150495, '(93.77%)', Timestamp('1998-06-29 16:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('8291 days 09:00:00')]","[8660, '(95.95%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('376 days 01:00:00')]","[65208, '(97.99%)', Timestamp('2013-01-19 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2974 days 01:00:00')]","[56067, '(95.55%)', Timestamp('2013-01-19 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2974 days 01:00:00')]","[183651, '(93.57%)', Timestamp('1996-01-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('9202 days 01:00:00')]","[168211, '(93.54%)', Timestamp('1996-01-05 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('9198 days 01:00:00')]","[56975, '(97.51%)', Timestamp('2013-10-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2719 days 01:00:00')]","[75038, '(95.99%)', Timestamp('2010-05-07 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('3962 days 01:00:00')]","[35569, '(79.09%)', Timestamp('2015-01-06 12:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2256 days 13:00:00')]","[181122, '(94.46%)', Timestamp('1996-08-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('8989 days 01:00:00')]","[182453, '(97.84%)', Timestamp('1996-08-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('8989 days 01:00:00')]","[187135, '(95.64%)', Timestamp('1996-09-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('8958 days 01:00:00')]","[75347, '(98.72%)', Timestamp('2008-09-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('4575 days 01:00:00')]","[70755, '(98.16%)', Timestamp('2008-09-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('4575 days 01:00:00')]","[127714, '(96.03%)', Timestamp('2004-04-23 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('6167 days 01:00:00')]","[49338, '(98.20%)', Timestamp('2014-09-06 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2379 days 01:00:00')]","[112994, '(95.75%)', Timestamp('2005-05-18 12:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('5776 days 13:00:00')]","[40236, '(96.56%)', Timestamp('2006-02-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('5518 days 01:00:00')]","[39012, '(95.01%)', Timestamp('2006-02-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('5518 days 01:00:00')]","[88694, '(98.90%)', Timestamp('2009-06-08 11:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('4294 days 14:00:00')]","[89166, '(98.70%)', Timestamp('2009-06-08 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('4295 days 01:00:00')]","[86592, '(97.09%)', Timestamp('2010-05-05 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('3964 days 01:00:00')]","[81966, '(96.50%)', Timestamp('2010-06-17 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('3921 days 01:00:00')]","[12315, '(97.40%)', Timestamp('2011-06-28 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('3545 days 01:00:00')]","[12974, '(99.05%)', Timestamp('2011-07-13 14:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('3529 days 11:00:00')]","[28472, '(96.22%)', Timestamp('2011-07-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('3542 days 01:00:00')]","[73546, '(96.24%)', Timestamp('2011-11-08 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('3412 days 01:00:00')]","[43818, '(97.43%)', Timestamp('2015-06-22 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2090 days 01:00:00')]","[39982, '(98.24%)', Timestamp('2016-06-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1745 days 01:00:00')]","[39974, '(98.67%)', Timestamp('2016-06-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1745 days 01:00:00')]","[3480, '(97.86%)', Timestamp('2019-12-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('467 days 01:00:00')]","[32233, '(99.49%)', Timestamp('2017-06-06 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1375 days 01:00:00')]","[31708, '(99.29%)', Timestamp('2017-06-07 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('1374 days 01:00:00')]","[14852, '(99.57%)', Timestamp('2019-06-25 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('626 days 01:00:00')]","[8981, '(99.50%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('376 days 01:00:00')]","[8989, '(99.59%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('376 days 01:00:00')]","[8897, '(98.57%)', Timestamp('2020-03-04 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('373 days 01:00:00')]","[1668, '(68.76%)', Timestamp('2021-01-01 01:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('70 days 00:00:00')]","[1681, '(69.29%)', Timestamp('2021-01-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('70 days 01:00:00')]","[1682, '(69.33%)', Timestamp('2021-01-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('70 days 01:00:00')]","[1682, '(69.33%)', Timestamp('2021-01-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('70 days 01:00:00')]","[1677, '(69.13%)', Timestamp('2021-01-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('70 days 01:00:00')]","[6445, '(71.40%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('376 days 01:00:00')]","[71, '(7.57%)', Timestamp('2021-03-09 02:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('2 days 23:00:00')]","[6518, '(72.21%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('376 days 01:00:00')]","[3775, '(51.59%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2020-10-11 23:00:00'), Timedelta('224 days 23:00:00')]","[0, '(0.00%)', nan, nan, nan]","[0, '(0.00%)', nan, nan, nan]","[0, '(0.00%)', nan, nan, nan]","[0, '(0.00%)', nan, nan, nan]","[0, '(0.00%)', nan, nan, nan]","[0, '(0.00%)', nan, nan, nan]","[0, '(0.00%)', nan, nan, nan]","[0, '(0.00%)', nan, nan, nan]","[0, '(0.00%)', nan, nan, nan]","[0, '(0.00%)', nan, nan, nan]","[1710, '(70.49%)', Timestamp('2020-12-30 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('72 days 01:00:00')]","[1609, '(66.32%)', Timestamp('2020-12-30 00:00:00'), Timestamp('2021-03-12 01:00:00'), Timedelta('72 days 01:00:00')]","[0, '(0.00%)', nan, nan, nan]","[0, '(0.00%)', nan, nan, nan]","[6373918, '(90.86%)']"
