,02t,03t,05t,08t,10t,11t,12t,13t,14t,16t,17t,18t,19t,20t,21t,22t,24t,25t,26t,27t,28t,29t,30t,31t,32t,33t,34t,35t,36t,37t,38t,39t,40t,41t,42t,43t,44t,46t,47t,50t,52t,53t,54t,57t,58t,59t,60t,61t,62t,63t,67t,68t,69t,70t,71t,72t,73t,74t,75t,76t,77t,78t,79t,80t,81t,82t,83t,84t,total
 PM2.5,"[11927, '(12.10%)', Timestamp('2019-08-18 02:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('501 days 21:00:00')]","[17324, '(47.46%)', Timestamp('2019-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('730 days 23:00:00')]","[40128, '(40.70%)', Timestamp('2016-06-23 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1652 days 23:00:00')]","[40659, '(41.24%)', Timestamp('2016-07-11 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1634 days 23:00:00')]","[20893, '(21.19%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('806 days 23:00:00')]","[21416, '(21.72%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('806 days 23:00:00')]","[11925, '(12.10%)', Timestamp('2019-08-18 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('501 days 23:00:00')]","[16863, '(17.10%)', Timestamp('2019-01-01 00:00:00'), Timestamp('2020-12-19 09:00:00'), Timedelta('718 days 09:00:00')]","[17280, '(21.69%)', Timestamp('2019-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('730 days 23:00:00')]","[13245, '(13.43%)', Timestamp('2019-06-25 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('555 days 23:00:00')]","[21297, '(21.60%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('806 days 23:00:00')]","[23159, '(23.49%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1086 days 23:00:00')]","[33143, '(33.62%)', Timestamp('2017-06-07 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1303 days 23:00:00')]","[21005, '(21.30%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('806 days 23:00:00')]","[21263, '(21.57%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1086 days 23:00:00')]","[11861, '(12.03%)', Timestamp('2019-08-18 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('501 days 23:00:00')]","[64871, '(65.80%)', Timestamp('2012-06-21 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('3115 days 23:00:00')]","[21048, '(21.35%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1086 days 23:00:00')]","[53873, '(92.99%)', Timestamp('2014-08-22 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('2323 days 23:00:00')]","[56877, '(86.52%)', Timestamp('2013-10-08 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('2641 days 23:00:00')]","[14816, '(25.19%)', Timestamp('2019-04-11 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('630 days 23:00:00')]","[23180, '(23.51%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1086 days 23:00:00')]","[79641, '(88.66%)', Timestamp('2011-05-27 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('3506 days 23:00:00')]","[22960, '(23.29%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1086 days 23:00:00')]","[49468, '(50.17%)', Timestamp('2015-04-09 10:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('2093 days 13:00:00')]","[20689, '(31.46%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('806 days 23:00:00')]","[21799, '(41.44%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1086 days 23:00:00')]","[40270, '(40.85%)', Timestamp('2016-07-11 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1634 days 23:00:00')]","[82215, '(83.39%)', Timestamp('2011-05-17 16:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('3516 days 07:00:00')]","[21365, '(29.56%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('806 days 23:00:00')]","[21004, '(21.30%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('806 days 23:00:00')]","[21048, '(21.35%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('806 days 23:00:00')]","[61315, '(62.19%)', Timestamp('2013-11-08 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('2610 days 23:00:00')]","[21228, '(29.37%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('806 days 23:00:00')]","[21474, '(29.71%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1086 days 23:00:00')]","[13130, '(13.32%)', Timestamp('2019-06-27 05:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('553 days 18:00:00')]","[54054, '(54.83%)', Timestamp('2012-06-18 17:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('3118 days 06:00:00')]","[55682, '(84.71%)', Timestamp('2014-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('2556 days 23:00:00')]","[13213, '(13.40%)', Timestamp('2019-06-28 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('552 days 23:00:00')]","[33152, '(33.63%)', Timestamp('2017-06-07 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1303 days 23:00:00')]","[41096, '(41.68%)', Timestamp('2016-06-23 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1652 days 23:00:00')]","[33138, '(33.61%)', Timestamp('2017-06-07 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1303 days 23:00:00')]","[60936, '(61.81%)', Timestamp('2011-05-16 09:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('3517 days 14:00:00')]","[23265, '(23.60%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1086 days 23:00:00')]","[22928, '(23.26%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1086 days 23:00:00')]","[49047, '(49.75%)', Timestamp('2015-04-10 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('2092 days 23:00:00')]","[14821, '(25.74%)', Timestamp('2019-04-11 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('630 days 23:00:00')]","[54328, '(55.10%)', Timestamp('2014-08-15 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('2330 days 23:00:00')]","[31272, '(31.72%)', Timestamp('2017-06-07 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1303 days 23:00:00')]","[31644, '(32.10%)', Timestamp('2017-06-07 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1303 days 23:00:00')]","[23421, '(23.76%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1086 days 23:00:00')]","[22938, '(95.10%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1086 days 23:00:00')]","[21213, '(21.52%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('806 days 23:00:00')]","[16481, '(16.72%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('806 days 23:00:00')]","[21307, '(23.72%)', Timestamp('2014-12-31 23:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('2192 days 00:00:00')]","[21484, '(23.92%)', Timestamp('2014-12-31 23:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('2192 days 00:00:00')]","[20821, '(23.18%)', Timestamp('2018-10-17 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('806 days 23:00:00')]","[11762, '(13.09%)', Timestamp('2019-08-18 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('501 days 23:00:00')]","[40336, '(87.67%)', Timestamp('2016-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1826 days 23:00:00')]","[40485, '(95.57%)', Timestamp('2016-06-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1674 days 23:00:00')]","[40939, '(96.65%)', Timestamp('2016-06-08 07:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1667 days 16:00:00')]","[9402, '(53.59%)', Timestamp('2019-12-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('396 days 23:00:00')]","[33174, '(98.73%)', Timestamp('2017-06-06 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1304 days 23:00:00')]","[32790, '(97.59%)', Timestamp('2017-06-07 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1303 days 23:00:00')]","[13170, '(75.07%)', Timestamp('2019-06-25 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('555 days 23:00:00')]","[7309, '(41.66%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('305 days 23:00:00')]","[7307, '(41.65%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('305 days 23:00:00')]","[7215, '(41.13%)', Timestamp('2020-03-04 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('302 days 23:00:00')]","[1985789, '(36.37%)']"
 PM10,"[74412, '(75.47%)', Timestamp('2010-01-07 09:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4011 days 14:00:00')]","[31127, '(85.27%)', Timestamp('2015-04-10 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('2092 days 23:00:00')]","[76675, '(77.77%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[77005, '(78.10%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[88712, '(89.98%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[73818, '(74.87%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[65222, '(66.15%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[75793, '(76.88%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-04-19 05:00:00'), Timedelta('3761 days 05:00:00')]","[69305, '(87.01%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[68710, '(69.69%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[90830, '(92.13%)', Timestamp('2010-05-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('3897 days 23:00:00')]","[80598, '(81.75%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[91248, '(92.55%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[65226, '(66.16%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[80549, '(81.70%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[77006, '(78.11%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[95951, '(97.32%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[91926, '(93.24%)', Timestamp('2010-02-01 12:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('3986 days 11:00:00')]","[54629, '(94.29%)', Timestamp('2014-08-22 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('2323 days 23:00:00')]","[57990, '(88.22%)', Timestamp('2013-10-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('2648 days 23:00:00')]","[57809, '(98.27%)', Timestamp('2014-07-16 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('2360 days 23:00:00')]","[89772, '(91.05%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[80756, '(89.90%)', Timestamp('2011-07-08 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('3464 days 23:00:00')]","[82641, '(83.82%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[86853, '(88.09%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[64078, '(97.44%)', Timestamp('2013-09-30 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('2649 days 23:00:00')]","[51727, '(98.33%)', Timestamp('2015-04-10 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('2092 days 23:00:00')]","[95827, '(97.20%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[96003, '(97.37%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[68631, '(94.94%)', Timestamp('2013-01-19 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('2903 days 23:00:00')]","[91097, '(92.40%)', Timestamp('2010-01-02 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4016 days 23:00:00')]","[87120, '(88.36%)', Timestamp('2010-01-29 10:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('3989 days 13:00:00')]","[89893, '(91.18%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[69417, '(96.03%)', Timestamp('2013-01-19 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('2903 days 23:00:00')]","[65300, '(90.33%)', Timestamp('2013-01-19 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('2903 days 23:00:00')]","[88799, '(90.07%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[87275, '(88.52%)', Timestamp('2010-01-01 08:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 15:00:00')]","[58208, '(88.55%)', Timestamp('2013-10-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('2648 days 23:00:00')]","[79260, '(80.39%)', Timestamp('2010-05-07 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('3891 days 23:00:00')]","[78423, '(79.54%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[85356, '(86.57%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[78879, '(80.01%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[86725, '(87.96%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[94331, '(95.68%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[91778, '(93.09%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[88061, '(89.32%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[54910, '(95.37%)', Timestamp('2014-09-06 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('2308 days 23:00:00')]","[80718, '(81.87%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[88733, '(90.00%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[83682, '(84.88%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[94541, '(95.89%)', Timestamp('2010-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('4017 days 23:00:00')]","[23019, '(95.44%)', Timestamp('2018-01-10 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1086 days 23:00:00')]","[89929, '(91.21%)', Timestamp('2010-05-05 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('3893 days 23:00:00')]","[83624, '(84.82%)', Timestamp('2010-06-17 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('3850 days 23:00:00')]","[71405, '(79.49%)', Timestamp('2011-06-28 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('3474 days 23:00:00')]","[67879, '(75.56%)', Timestamp('2011-07-13 14:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('3459 days 09:00:00')]","[75134, '(83.64%)', Timestamp('2011-07-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('3471 days 23:00:00')]","[78049, '(86.88%)', Timestamp('2011-11-08 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('3341 days 23:00:00')]","[43563, '(94.69%)', Timestamp('2016-01-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1826 days 23:00:00')]","[41407, '(97.75%)', Timestamp('2016-06-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1674 days 23:00:00')]","[41235, '(97.34%)', Timestamp('2016-06-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1674 days 23:00:00')]","[9336, '(53.21%)', Timestamp('2019-12-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('396 days 23:00:00')]","[33316, '(99.15%)', Timestamp('2017-06-06 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1304 days 23:00:00')]","[33228, '(98.89%)', Timestamp('2017-06-07 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('1303 days 23:00:00')]","[13204, '(75.26%)', Timestamp('2019-06-25 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('555 days 23:00:00')]","[7309, '(41.66%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('305 days 23:00:00')]","[7307, '(41.65%)', Timestamp('2020-03-01 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('305 days 23:00:00')]","[7215, '(41.13%)', Timestamp('2020-03-04 00:00:00'), Timestamp('2020-12-31 23:00:00'), Timedelta('302 days 23:00:00')]","[4709494, '(86.26%)']"
